"Locus Tag","Product","Pathway Name","Pathway Xref","Pathway Database","Version","ECO code","ECO term","PMID",""
"PA1337","glutaminase-asparaginase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1417","probable decarboxylase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1498","pyruvate kinase I","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1535","citronellyl-CoA dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1562","aconitate hydratase 1","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1580","citrate synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1581","succinate dehydrogenase (C subunit)","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1582","succinate dehydrogenase (D subunit)","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1583","succinate dehydrogenase (A subunit)","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1584","succinate dehydrogenase (B subunit)","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1585","2-oxoglutarate dehydrogenase (E1 subunit)","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1586","dihydrolipoamide succinyltransferase (E2 subunit)","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1587","dihydrolipoamide dehydrogenase Lpd","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1588","succinyl-CoA synthetase beta chain","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1589","succinyl-CoA synthetase alpha chain","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1598","conserved hypothetical protein","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1614","glycerol-3-phosphate dehydrogenase, biosynthetic","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1681","chorismate synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1726","BglX","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1736","probable acyl-CoA thiolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1737","probable 3-hydroxyacyl-CoA dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1748","probable enoyl-CoA hydratase/isomerase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1750","phospho-2-dehydro-3-deoxyheptonate aldolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1752","hypothetical protein","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1757","homoserine kinase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1778","uroporphyrin-III C-methyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1787","aconitate hydratase 2","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1821","probable enoyl-CoA hydratase/isomerase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1843","methionine synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1901","phenazine biosynthesis protein PhzC","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1927","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1982","quinoprotein ethanol dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1984","NAD+ dependent aldehyde dehydrogenase ExaC","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2001","acetyl-CoA acetyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2035","probable decarboxylase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2084","probable asparagine synthetase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2104","probable cysteine synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2105","probable acetyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2144","glycogen phosphorylase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2147","catalase HPII","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2153","1,4-alpha-glucan branching enzyme","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2160","probable glycosyl hydrolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2162","probable glycosyl hydrolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2164","probable glycosyl hydrolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2165","probable glycogen synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2193","hydrogen cyanide synthase HcnA","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2194","hydrogen cyanide synthase HcnB","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2195","hydrogen cyanide synthase HcnC","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2232","PslB","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2247","2-oxoisovalerate dehydrogenase (alpha subunit)","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2248","2-oxoisovalerate dehydrogenase (beta subunit)","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2249","branched-chain alpha-keto acid dehydrogenase (lipoamide component)","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2250","lipoamide dehydrogenase-Val","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2253","L-asparaginase I","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2290","glucose dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2321","GntK","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2442","glycine cleavage system protein T2","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2443","L-serine dehydratase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2444","serine hydroxymethyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2445","glycine cleavage system protein P2","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2446","glycine cleavage system protein H2","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2531","probable aminotransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2536","probable phosphatidate cytidylyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2550","probable acyl-CoA dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2553","probable acyl-CoA thiolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2555","probable AMP-binding enzyme","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2611","siroheme synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2623","isocitrate dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2624","isocitrate dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2629","adenylosuccinate lyase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2634","isocitrate lyase AceA","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2682","conserved hypothetical protein","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2683","probable serine/threonine dehydratase, degradative","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2709","cysteine synthase A","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2796","transaldolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2828","probable aminotransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2843","probable aldolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2940","probable acyl-CoA thiolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2942","probable magnesium chelatase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2943","phospho-2-dehydro-3-deoxyheptonate aldolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2969","fatty acid biosynthesis protein PlsX","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2974","probable hydrolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3001","probable glyceraldehyde-3-phosphate dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3013","fatty-acid oxidation complex beta-subunit","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3014","fatty-acid oxidation complex alpha-subunit","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3025","probable FAD-dependent glycerol-3-phosphate dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3108","amidophosphoribosyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3112","acetyl-CoA carboxylase beta subunit","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3113","N-(5'phosphoribosyl)anthranilate (PRA) isomerase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3117","aspartate semialdehyde dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3118","3-isopropylmalate dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3120","3-isopropylmalate dehydratase small subunit","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3121","3-isopropylmalate dehydratase large subunit","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3134","glutamyl-tRNA synthetase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3139","probable amino acid aminotransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3151","imidazoleglycerol-phosphate synthase, cyclase subunit","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3152","glutamine amidotransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3165","histidinol-phosphate aminotransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3166","chorismate mutase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3171","3-demethylubiquinone-9 3-methyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3172","probable hydrolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3182","6-phosphogluconolactonase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3183","glucose-6-phosphate 1-dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3193","glucokinase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3195","glyceraldehyde 3-phosphate dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3319","non-hemolytic phospholipase C precursor","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3415","probable dihydrolipoamide acetyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3416","probable pyruvate dehydrogenase E1 component, beta chain","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3417","probable pyruvate dehydrogenase E1 component, alpha subunit","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3418","leucine dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3426","probable enoyl CoA-hydratase/isomerase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3452","malate:quinone oxidoreductase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3454","probable acyl-CoA thiolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3459","probable glutamine amidotransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3475","cyclohexadienyl dehydratase precursor","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3506","probable decarboxylase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3516","probable lyase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3517","probable lyase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3525","argininosuccinate synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3537","ornithine carbamoyltransferase, anabolic","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3551","phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3584","glycerol-3-phosphate dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3589","probable acyl-CoA thiolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3603","diacylglycerol kinase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3625","survival protein SurE","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3627","2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3629","alcohol dehydrogenase class III","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3633","4-diphosphocytidyl-2-C-methylerythritol synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3635","enolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3639","acetyl-coenzyme A carboxylase carboxyl transferase (alpha subunit)","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3650","1-deoxy-d-xylulose 5-phosphate reductoisomerase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3651","phosphatidate cytidylyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3652","undecaprenyl pyrophosphate synthetase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3673","glycerol-3-phosphate acyltransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3686","adenylate kinase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3735","threonine synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3736","homoserine dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3751","phosphoribosylglycinamide formyltransferase 2","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3763","phosphoribosylformylglycinamidine synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3770","inosine-5'-monophosphate dehydrogenase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3792","2-isopropylmalate synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3803","probable isoprenoid biosynthetic protein GcpE","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3807","nucleoside diphosphate kinase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3816","O-acetylserine synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3857","phosphatidylcholine synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3925","probable acyl-CoA thiolase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3977","glutamate-1-semialdehyde 2,1-aminomutase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4007","gamma-glutamyl phosphate reductase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4019","UbiX","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4022","hydrazone dehydrogenase, HdhA","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4043","geranyltranstransferase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4044","1-deoxyxylulose-5-phosphate synthase","Biosynthesis of secondary metabolites","pae01110","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
